Value,Count,bps_alabama,evt_alabama,Value_1,Count_1,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,Aref,Bref,Cref,Dref,Eref,Agref,Urref,Unref,Ueref,Value_12,Count_12,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R_1,G_1,B_1,RED_1,GREEN_1,BLUE_1
11,10247.000000000000000,2112,7305,2112,59741.000000000000000,14570,48,14570_47_48,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Hardwood,189,118,9,8,4,7,89,I-B,186,237,38,0.729412000000000,0.929412000000000,0.149020000000000,13,21,17,28,21,0,0,0,0,7305,45499627.000000000000000,Southern Interior Low Plateau Dry-Mesic Oak Forest,7305,2305,Tr Southern Interior Low Plateau Dry-Mesic Oak Forest,Tree,Hardwood,661,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
12,602565.000000000000000,2092,7305,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7305,45499627.000000000000000,Southern Interior Low Plateau Dry-Mesic Oak Forest,7305,2305,Tr Southern Interior Low Plateau Dry-Mesic Oak Forest,Tree,Hardwood,661,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
13,8952.000000000000000,2094,7321,2094,304978.000000000000000,13070,48,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,2,9,89,I-B,222,205,149,0.870588000000000,0.803922000000000,0.584314000000000,6,16,27,34,17,0,0,0,0,7321,66087085.000000000000000,South-Central Interior Mesophytic Forest,7321,2321,Tr South-Central Interior Mesophytic Forest,Tree,Hardwood,655,Beech-Maple-Basswood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
14,19268.000000000000000,2094,7305,2094,304978.000000000000000,13070,48,13070_46_47_48,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood,388,89,9,8,2,9,89,I-B,222,205,149,0.870588000000000,0.803922000000000,0.584314000000000,6,16,27,34,17,0,0,0,0,7305,45499627.000000000000000,Southern Interior Low Plateau Dry-Mesic Oak Forest,7305,2305,Tr Southern Interior Low Plateau Dry-Mesic Oak Forest,Tree,Hardwood,661,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
15,208063.000000000000000,2114,7296,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7296,105818610.000000000000000,Developed-Low Intensity,7296,2902,Bau Developed-Low Intensity,Developed,Developed-Low Intensity,22,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,255,122,143,1.000000000000000,0.478431000000000,0.560784000000000
16,852821.000000000000000,2092,7974,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7974,483521211.000000000000000,Eastern Cool Temperate Row Crop,7974,2964,Da Row Crop,Agriculture,Agricultural,64,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,255,119,0.980392000000000,1.000000000000000,0.466667000000000
17,22282.000000000000000,2116,7977,2116,455869.000000000000000,14790,48,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000,24,36,40,0,0,0,0,0,0,7977,313325689.000000000000000,Eastern Cool Temperate Pasture and Hayland,7977,2967,Dab Pasture and Hayland,Herb,Agricultural,67,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,227,212,28,0.890196000000000,0.831373000000000,0.109804000000000
18,415442.000000000000000,2114,7305,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7305,45499627.000000000000000,Southern Interior Low Plateau Dry-Mesic Oak Forest,7305,2305,Tr Southern Interior Low Plateau Dry-Mesic Oak Forest,Tree,Hardwood,661,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
19,809073.000000000000000,2114,7974,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7974,483521211.000000000000000,Eastern Cool Temperate Row Crop,7974,2964,Da Row Crop,Agriculture,Agricultural,64,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,255,119,0.980392000000000,1.000000000000000,0.466667000000000
20,27314.000000000000000,2092,9315,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,9315,65401726.000000000000000,Northern & Central Native Ruderal Forest,9315,2566,Tr Northern & Central Native Ruderal Forest,Tree,Conifer-Hardwood,740,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
21,625355.000000000000000,2114,7321,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7321,66087085.000000000000000,South-Central Interior Mesophytic Forest,7321,2321,Tr South-Central Interior Mesophytic Forest,Tree,Hardwood,655,Beech-Maple-Basswood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
22,57998.000000000000000,2114,7929,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7929,15630515.000000000000000,Eastern Cool Temperate Developed Herbaceous,7929,2911,Dgr Developed Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,158,170,215,0.619608000000000,0.666667000000000,0.843137000000000
23,30711.000000000000000,2114,7925,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7925,7481704.000000000000000,Eastern Cool Temperate Developed Deciduous Forest,7925,2908,Dtd Developed Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,64,61,168,0.250980000000000,0.239216000000000,0.658824000000000
24,95488.000000000000000,2092,7321,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7321,66087085.000000000000000,South-Central Interior Mesophytic Forest,7321,2321,Tr South-Central Interior Mesophytic Forest,Tree,Hardwood,655,Beech-Maple-Basswood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
25,41857.000000000000000,2092,7976,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7976,3427964.000000000000000,Eastern Cool Temperate Fallow/Idle Cropland,7976,2966,Dab Fallow/Idle Cropland,Herb,Agricultural,66,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,255,119,1.000000000000000,1.000000000000000,0.466667000000000
26,124720.000000000000000,2114,7297,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7297,48886614.000000000000000,Developed-Medium Intensity,7297,2903,Bau Developed-Medium Intensity,Developed,Developed-Medium Intensity,23,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,253,44,79,0.992157000000000,0.172549000000000,0.309804000000000
27,37757.000000000000000,2114,7927,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7927,6190993.000000000000000,Eastern Cool Temperate Developed Mixed Forest,7927,2910,Dtm Developed Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,68,79,137,0.266667000000000,0.309804000000000,0.537255000000000
28,91377.000000000000000,2092,7908,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7908,20143534.000000000000000,Eastern Cool Temperate Urban Herbaceous,7908,2916,Dgr Urban Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,202,122,245,0.792157000000000,0.478431000000000,0.960784000000000
29,493.000000000000000,2112,7907,2112,59741.000000000000000,14570,48,14570_47_48,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Hardwood,189,118,9,8,4,7,89,I-B,186,237,38,0.729412000000000,0.929412000000000,0.149020000000000,13,21,17,28,21,0,0,0,0,7907,11662895.000000000000000,Eastern Cool Temperate Urban Mixed Forest,7907,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784000000000,0.619608000000000,0.843137000000000
30,182448.000000000000000,2092,7296,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7296,105818610.000000000000000,Developed-Low Intensity,7296,2902,Bau Developed-Low Intensity,Developed,Developed-Low Intensity,22,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,255,122,143,1.000000000000000,0.478431000000000,0.560784000000000
31,61436.000000000000000,2092,7929,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7929,15630515.000000000000000,Eastern Cool Temperate Developed Herbaceous,7929,2911,Dgr Developed Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,158,170,215,0.619608000000000,0.666667000000000,0.843137000000000
32,61663.000000000000000,2114,7905,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7905,18988776.000000000000000,Eastern Cool Temperate Urban Deciduous Forest,7905,2913,Dtd Urban Deciduous Forest,Tree,Developed,13,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy,112,68,137,0.439216000000000,0.266667000000000,0.537255000000000
33,95219.000000000000000,2092,7297,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,7297,48886614.000000000000000,Developed-Medium Intensity,7297,2903,Bau Developed-Medium Intensity,Developed,Developed-Medium Intensity,23,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,253,44,79,0.992157000000000,0.172549000000000,0.309804000000000
34,91.000000000000000,2110,7974,2110,50425.000000000000000,14160,48,14160_48,Western Highland Rim Prairie and Barrens,Grassland,40,26,19,9,21,33,46,I-B,242,237,168,0.949020000000000,0.929412000000000,0.658824000000000,26,10,11,39,14,0,0,0,0,7974,483521211.000000000000000,Eastern Cool Temperate Row Crop,7974,2964,Da Row Crop,Agriculture,Agricultural,64,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,250,255,119,0.980392000000000,1.000000000000000,0.466667000000000
35,29.000000000000000,2110,9315,2110,50425.000000000000000,14160,48,14160_48,Western Highland Rim Prairie and Barrens,Grassland,40,26,19,9,21,33,46,I-B,242,237,168,0.949020000000000,0.929412000000000,0.658824000000000,26,10,11,39,14,0,0,0,0,9315,65401726.000000000000000,Northern & Central Native Ruderal Forest,9315,2566,Tr Northern & Central Native Ruderal Forest,Tree,Conifer-Hardwood,740,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
36,609.000000000000000,2112,7296,2112,59741.000000000000000,14570,48,14570_47_48,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Hardwood,189,118,9,8,4,7,89,I-B,186,237,38,0.729412000000000,0.929412000000000,0.149020000000000,13,21,17,28,21,0,0,0,0,7296,105818610.000000000000000,Developed-Low Intensity,7296,2902,Bau Developed-Low Intensity,Developed,Developed-Low Intensity,22,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,255,122,143,1.000000000000000,0.478431000000000,0.560784000000000
37,20185.000000000000000,2114,9315,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,9315,65401726.000000000000000,Northern & Central Native Ruderal Forest,9315,2566,Tr Northern & Central Native Ruderal Forest,Tree,Conifer-Hardwood,740,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
38,30198.000000000000000,2114,9817,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,9817,112663632.000000000000000,Northern & Central Ruderal Meadow,9317,2568,Sh Northern & Central Ruderal Meadow & Shrubland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
39,94133.000000000000000,2114,7908,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7908,20143534.000000000000000,Eastern Cool Temperate Urban Herbaceous,7908,2916,Dgr Urban Herbaceous,Herb,Developed,16,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,202,122,245,0.792157000000000,0.478431000000000,0.960784000000000
40,38008.000000000000000,2092,9817,2092,18587094.000000000000000,13050,48,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood,6,199,21,4,77,3,20,II-A,184,156,33,0.721569000000000,0.611765000000000,0.129412000000000,39,2,36,20,3,0,0,0,0,9817,112663632.000000000000000,Northern & Central Ruderal Meadow,9317,2568,Sh Northern & Central Ruderal Meadow & Shrubland,Herb,Exotic Herbaceous,703,Introduced Perennial Grassland and Forbland,LF 54: Introduced Upland Vegetation - Herbaceous,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,105,46,1.000000000000000,0.411765000000000,0.180392000000000
41,92895.000000000000000,2096,7305,2096,20241208.000000000000000,13170,48,13170_48_53,Allegheny-Cumberland Dry Oak Forest and Woodland,Hardwood,91,1199,6,6,6,1,93,I-B,186,184,148,0.729412000000000,0.721569000000000,0.580392000000000,17,1,13,6,63,0,0,0,0,7305,45499627.000000000000000,Southern Interior Low Plateau Dry-Mesic Oak Forest,7305,2305,Tr Southern Interior Low Plateau Dry-Mesic Oak Forest,Tree,Hardwood,661,Chestnut Oak Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,13,69,133,0.050980000000000,0.270588000000000,0.521569000000000
42,6252.000000000000000,2112,7321,2112,59741.000000000000000,14570,48,14570_47_48,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Hardwood,189,118,9,8,4,7,89,I-B,186,237,38,0.729412000000000,0.929412000000000,0.149020000000000,13,21,17,28,21,0,0,0,0,7321,66087085.000000000000000,South-Central Interior Mesophytic Forest,7321,2321,Tr South-Central Interior Mesophytic Forest,Tree,Hardwood,655,Beech-Maple-Basswood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,38,115,0.000000000000000,0.149020000000000,0.450980000000000
43,37042.000000000000000,2114,7976,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7976,3427964.000000000000000,Eastern Cool Temperate Fallow/Idle Cropland,7976,2966,Dab Fallow/Idle Cropland,Herb,Agricultural,66,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb,255,255,119,1.000000000000000,1.000000000000000,0.466667000000000
44,99510.000000000000000,2114,7907,2114,18379129.000000000000000,14720,48,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Riparian,990,-9999,200,167,17,-9999,83,III-B,36,255,20,0.141176000000000,1.000000000000000,0.078431000000000,17,23,13,38,9,0,0,0,0,7907,11662895.000000000000000,Eastern Cool Temperate Urban Mixed Forest,7907,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,Developed,15,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,194,158,215,0.760784000000000,0.619608000000000,0.843137000000000
